service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,1,0,0,20190311,20190407
2,0,0,0,1,0,0,0,20190311,20190407
3,1,0,0,0,0,0,0,20190311,20190407
4,0,1,0,0,0,0,0,20190311,20190407
5,0,0,1,0,0,0,0,20190311,20190407
6,1,0,0,0,0,0,0,20190408,20190630
7,0,1,0,0,0,0,0,20190408,20190630
8,0,0,1,0,0,0,0,20190408,20190630
9,0,0,0,0,1,0,0,20190408,20190630
10,0,0,0,1,0,0,0,20190408,20190630
11,0,0,0,0,0,1,0,20190311,20190407
12,0,0,0,0,0,0,1,20190311,20190407
13,0,0,0,0,0,1,0,20190408,20190630
14,0,0,0,0,0,0,1,20190408,20190630
15,0,0,0,0,0,0,0,20190408,20190630
16,0,0,0,0,0,0,0,20190408,20190630
17,0,0,0,0,0,0,0,20190408,20190630
