gtf_trip_id,reference_pattern_id,reference_trip_id,gtf_route_id,start_time,reference_route_id,gtf_service_id,reference_service_id
1,11708,415296,1,08:23:00,860,1,130
2,11708,423158,1,07:02:00,860,2,132
3,11708,415292,1,07:02:00,860,1,130
4,11708,419225,1,07:02:00,860,3,131
5,11708,423162,1,08:23:00,860,2,132
6,11708,419229,1,08:23:00,860,3,131
7,11708,431028,1,07:02:00,860,4,134
8,11708,433200,1,15:25:00,860,4,134
9,11708,427089,1,07:02:00,860,5,133
10,11708,421406,1,16:51:00,860,3,131
11,11708,421404,1,16:08:00,860,3,131
12,11708,425314,1,16:08:00,860,2,132
13,11708,429266,1,15:25:00,860,5,133
14,11708,427093,1,08:23:00,860,5,133
15,11708,425312,1,15:25:00,860,2,132
16,11708,431032,1,08:23:00,860,4,134
17,11708,425316,1,16:51:00,860,2,132
18,11708,433202,1,16:08:00,860,4,134
19,11708,417469,1,15:25:00,860,1,130
20,11708,433204,1,16:51:00,860,4,134
21,11708,429270,1,16:51:00,860,5,133
22,11708,421402,1,15:25:00,860,3,131
23,11708,417471,1,16:08:00,860,1,130
24,11708,429268,1,16:08:00,860,5,133
25,11708,417473,1,16:51:00,860,1,130
26,11710,417470,1,15:51:00,860,1,130
27,11710,429267,1,15:51:00,860,5,133
28,11710,433201,1,15:51:00,860,4,134
29,11710,421405,1,16:34:00,860,3,131
30,11710,417472,1,16:34:00,860,1,130
31,11710,425313,1,15:51:00,860,2,132
32,11710,431029,1,07:27:00,860,4,134
33,11710,429269,1,16:34:00,860,5,133
34,11710,425315,1,16:34:00,860,2,132
35,11710,427090,1,07:27:00,860,5,133
36,11710,423157,1,06:46:00,860,2,132
37,11710,423163,1,08:50:00,860,2,132
38,11710,421403,1,15:51:00,860,3,131
39,11710,419228,1,08:07:00,860,3,131
40,11710,427088,1,06:46:00,860,5,133
41,11710,427094,1,08:50:00,860,5,133
42,11710,419224,1,06:46:00,860,3,131
43,11710,419230,1,08:50:00,860,3,131
44,11710,431033,1,08:50:00,860,4,134
45,11710,433203,1,16:34:00,860,4,134
46,11710,431031,1,08:07:00,860,4,134
47,11710,419226,1,07:27:00,860,3,131
48,11710,415295,1,08:07:00,860,1,130
49,11710,427092,1,08:07:00,860,5,133
50,11710,431027,1,06:46:00,860,4,134
51,11710,423161,1,08:07:00,860,2,132
52,11710,415291,1,06:46:00,860,1,130
53,11710,415297,1,08:50:00,860,1,130
54,11710,423159,1,07:27:00,860,2,132
55,11710,415293,1,07:27:00,860,1,130
56,11715,415592,2,13:35:00,861,1,130
57,11715,415749,2,18:15:00,861,1,130
58,11715,414834,2,11:31:00,861,1,130
59,11715,443469,2,17:16:00,861,6,139
60,11715,423454,2,10:29:00,861,2,132
61,11715,423753,2,16:30:00,861,2,132
62,11715,423843,2,14:06:00,861,2,132
63,11715,419517,2,07:31:00,861,3,131
64,11715,419523,2,12:02:00,861,3,131
65,11715,419906,2,11:00:00,861,3,131
66,11715,419912,2,15:47:00,861,3,131
67,11715,415588,2,10:29:00,861,1,130
68,11715,415887,2,16:30:00,861,1,130
69,11715,415977,2,14:06:00,861,1,130
70,11715,414830,2,08:25:00,861,1,130
71,11715,414836,2,13:04:00,861,1,130
72,11715,423450,2,07:31:00,861,2,132
73,11715,423456,2,12:02:00,861,2,132
74,11715,423839,2,11:00:00,861,2,132
75,11715,423845,2,15:47:00,861,2,132
76,11715,431626,2,16:30:00,861,4,134
77,11715,431326,2,12:02:00,861,4,134
78,11715,431332,2,16:52:00,861,4,134
79,11715,431718,2,15:47:00,861,4,134
80,11715,427383,2,09:01:00,861,5,133
81,11715,427766,2,07:53:00,861,5,133
82,11715,427772,2,12:33:00,861,5,133
83,11715,415875,2,07:09:00,861,1,130
84,11715,415971,2,09:29:00,861,1,130
85,11715,442913,2,07:35:00,861,6,139
86,11715,443038,2,11:42:00,861,6,139
87,11715,443459,2,09:35:00,861,6,139
88,11715,419521,2,10:29:00,861,3,131
89,11715,419820,2,16:30:00,861,3,131
90,11715,419910,2,14:06:00,861,3,131
91,11715,442917,2,10:30:00,861,6,139
92,11715,443042,2,14:48:00,861,6,139
93,11721,443054,2,23:34:00,861,6,139
94,11721,435516,2,00:55:00,861,7,135
95,11721,438505,2,23:34:00,861,8,137
96,11721,436562,2,23:34:00,861,9,136
97,11721,430194,2,00:56:00,861,4,134
98,11721,442066,2,00:55:00,861,10,138
99,11722,442095,2,09:49:00,861,10,138
100,11722,442060,2,22:23:00,861,10,138
101,11722,425345,2,17:25:00,861,2,132
102,11722,425351,2,21:52:00,861,2,132
103,11722,426235,2,07:06:00,861,5,133
104,11722,426241,2,11:41:00,861,5,133
105,11722,430188,2,22:22:00,861,4,134
106,11722,431723,2,19:52:00,861,4,134
107,11722,439717,2,14:49:00,861,8,137
108,11722,440373,2,18:37:00,861,10,138
109,11722,440829,2,23:23:00,861,10,138
110,11722,430281,2,08:11:00,861,4,134
111,11722,429111,2,16:36:00,861,5,133
112,11722,430040,2,10:39:00,861,4,134
113,11722,430046,2,15:19:00,861,4,134
114,11722,429314,2,18:56:00,861,5,133
115,11722,429320,2,23:22:00,861,5,133
116,11722,438899,2,18:21:00,861,8,137
117,11722,426239,2,10:08:00,861,5,133
118,11722,426245,2,14:47:00,861,5,133
119,11722,436980,2,18:21:00,861,9,136
120,11722,437000,2,16:41:00,861,9,136
121,11722,438484,2,08:04:00,861,8,137
122,11722,430044,2,13:45:00,861,4,134
123,11722,438363,2,07:04:00,861,8,137
124,11722,438488,2,11:06:00,861,8,137
125,11722,438903,2,21:22:00,861,8,137
126,11722,438909,2,09:01:00,861,8,137
127,11722,433087,2,16:36:00,861,4,134
128,11722,444272,2,19:21:00,861,6,139
129,11726,430049,2,17:36:00,861,4,134
130,11726,421595,2,23:22:00,861,3,131
131,11726,418252,2,17:36:00,861,3,131
132,11726,422412,2,08:48:00,861,2,132
133,11726,433834,2,19:12:00,861,7,135
134,11726,434168,2,19:43:00,861,7,135
135,11726,435036,2,23:22:00,861,7,135
136,11726,418479,2,08:48:00,861,3,131
137,11726,421547,2,19:15:00,861,3,131
138,11726,422327,2,00:22:00,861,2,132
139,11726,417614,2,19:15:00,861,1,130
140,11726,430191,2,00:22:00,861,4,134
141,11726,417662,2,23:22:00,861,1,130
142,11726,426116,2,17:36:00,861,5,133
143,11726,441578,2,23:22:00,861,10,138
144,11726,442063,2,00:22:00,861,10,138
145,11726,433353,2,23:22:00,861,4,134
146,11726,429411,2,19:15:00,861,5,133
147,11726,430282,2,08:48:00,861,4,134
148,11726,433305,2,19:15:00,861,4,134
149,11726,431488,2,19:45:00,861,4,134
150,11726,418394,2,00:22:00,861,3,131
151,11726,422185,2,17:36:00,861,2,132
152,11726,425492,2,23:22:00,861,2,132
153,11726,431161,2,08:15:00,861,4,134
154,11726,423291,2,08:15:00,861,2,132
155,11726,429459,2,23:22:00,861,5,133
156,11726,425444,2,19:15:00,861,2,132
157,11726,426258,2,00:22:00,861,5,133
158,11726,427222,2,08:15:00,861,5,133
159,11726,440690,2,19:43:00,861,10,138
160,11726,426343,2,08:48:00,861,5,133
161,11726,440374,2,19:12:00,861,10,138
162,11726,419358,2,08:15:00,861,3,131
163,11726,427548,2,19:45:00,861,5,133
164,11726,423617,2,19:45:00,861,2,132
165,11726,419684,2,19:45:00,861,3,131
166,11726,435513,2,00:22:00,861,7,135
167,11726,415751,2,19:45:00,861,1,130
168,11726,414546,2,08:48:00,861,1,130
169,11726,414319,2,17:36:00,861,1,130
170,11726,415425,2,08:15:00,861,1,130
171,11726,414461,2,00:22:00,861,1,130
172,11715,423289,2,06:45:00,861,2,132
173,11715,423835,2,07:53:00,861,2,132
174,11715,425191,2,18:45:00,861,2,132
175,11715,427220,2,06:45:00,861,5,133
176,11715,415596,2,16:52:00,861,1,130
177,11715,423458,2,13:35:00,861,2,132
178,11715,423615,2,18:15:00,861,2,132
179,11715,415423,2,06:45:00,861,1,130
180,11715,442921,2,13:33:00,861,6,139
181,11715,442927,2,18:14:00,861,6,139
182,11715,443441,2,12:56:00,861,6,139
183,11715,443461,2,11:06:00,861,6,139
184,11715,419519,2,09:01:00,861,3,131
185,11715,419902,2,07:53:00,861,3,131
186,11715,419908,2,12:33:00,861,3,131
187,11715,427381,2,07:31:00,861,5,133
188,11715,427387,2,12:02:00,861,5,133
189,11715,427770,2,11:00:00,861,5,133
190,11715,427776,2,15:47:00,861,5,133
191,11715,436423,2,07:35:00,861,9,136
192,11715,436542,2,08:35:00,861,9,136
193,11715,437001,2,17:16:00,861,9,136
194,11715,440342,2,09:05:00,861,10,138
195,11715,440818,2,14:48:00,861,10,138
196,11715,441570,2,17:23:00,861,10,138
197,11715,431159,2,06:45:00,861,4,134
198,11715,431708,2,07:53:00,861,4,134
199,11715,436435,2,16:40:00,861,9,136
200,11715,440346,2,12:13:00,861,10,138
201,11715,440822,2,17:54:00,861,10,138
202,11715,425079,2,15:03:00,861,2,132
203,11715,425442,2,17:47:00,861,2,132
204,11715,426629,2,09:58:00,861,5,133
205,11715,433804,2,10:39:00,861,7,135
206,11715,431320,2,07:31:00,861,4,134
207,11715,431712,2,11:00:00,861,4,134
208,11715,433001,2,15:03:00,861,4,134
209,11722,429316,2,20:22:00,861,5,133
210,11722,430036,2,07:27:00,861,4,134
211,11722,430042,2,12:12:00,861,4,134
212,11722,430184,2,19:30:00,861,4,134
213,11722,430190,2,23:52:00,861,4,134
214,11722,436996,2,13:35:00,861,9,136
215,11722,437812,2,22:22:00,861,9,136
216,11722,435508,2,20:52:00,861,7,135
217,11722,435543,2,09:49:00,861,7,135
218,11722,436559,2,21:52:00,861,9,136
219,11722,431617,2,09:37:00,861,4,134
220,11722,431623,2,14:16:00,861,4,134
221,11722,439727,2,22:22:00,861,8,137
222,11722,426107,2,10:39:00,861,5,133
223,11722,426113,2,15:19:00,861,5,133
224,11722,426255,2,22:22:00,861,5,133
225,11722,426624,2,06:25:00,861,5,133
226,11722,436984,2,21:22:00,861,9,136
227,11722,436990,2,09:01:00,861,9,136
228,11722,437806,2,18:01:00,861,9,136
229,11722,438375,2,16:04:00,861,8,137
230,11722,438500,2,20:22:00,861,8,137
231,11722,429458,2,22:52:00,861,5,133
232,11722,430172,2,10:08:00,861,4,134
233,11722,430178,2,14:47:00,861,4,134
234,11722,438889,2,10:48:00,861,8,137
235,11722,438915,2,13:35:00,861,8,137
236,11722,433221,2,18:56:00,861,4,134
237,11722,433227,2,23:22:00,861,4,134
238,11722,433819,2,07:53:00,861,7,135
239,11722,422695,2,07:48:00,861,2,132
240,11722,435031,2,19:52:00,861,7,135
241,11722,444262,2,11:43:00,861,6,139
242,11722,417314,2,16:36:00,861,1,130
243,11722,417517,2,18:56:00,861,1,130
244,11722,417523,2,23:22:00,861,1,130
245,11715,433088,2,17:15:00,861,4,134
246,11715,440812,2,10:08:00,861,10,138
247,11715,441564,2,12:44:00,861,10,138
248,11715,419808,2,07:09:00,861,3,131
249,11715,419904,2,09:29:00,861,3,131
250,11715,431322,2,09:01:00,861,4,134
251,11715,431328,2,13:35:00,861,4,134
252,11715,421138,2,15:03:00,861,3,131
253,11715,431714,2,12:33:00,861,4,134
254,11715,414449,2,15:26:00,861,1,130
255,11715,414838,2,14:37:00,861,1,130
256,11715,442925,2,16:40:00,861,6,139
257,11715,443445,2,16:02:00,861,6,139
258,11715,443465,2,14:11:00,861,6,139
259,11715,415584,2,07:31:00,861,1,130
260,11715,415590,2,12:02:00,861,1,130
261,11715,415973,2,11:00:00,861,1,130
262,11715,415979,2,15:47:00,861,1,130
263,11715,414832,2,09:58:00,861,1,130
264,11715,423452,2,09:01:00,861,2,132
265,11715,423841,2,12:33:00,861,2,132
266,11715,427385,2,10:29:00,861,5,133
267,11715,430179,2,15:26:00,861,4,134
268,11715,430568,2,09:58:00,861,4,134
269,11715,430574,2,14:37:00,861,4,134
270,11715,415586,2,09:01:00,861,1,130
271,11715,415969,2,07:53:00,861,1,130
272,11715,415975,2,12:33:00,861,1,130
273,11715,443034,2,08:35:00,861,6,139
274,11715,436431,2,13:33:00,861,9,136
275,11715,436437,2,18:14:00,861,9,136
276,11715,436550,2,14:48:00,861,9,136
277,11715,423741,2,07:09:00,861,2,132
278,11715,427672,2,07:09:00,861,5,133
279,11715,427768,2,09:29:00,861,5,133
280,11715,429002,2,15:03:00,861,5,133
281,11715,440814,2,11:42:00,861,10,138
282,11722,418243,2,10:39:00,861,3,131
283,11722,418249,2,15:19:00,861,3,131
284,11722,418371,2,07:06:00,861,3,131
