route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,1,1,Downtown,,0,18878,1,0,0
1,1,2,South Oak Bay via Richardson,,1,18878,2,0,0
1,2,3,South Oak Bay via Richardson,,1,18479,2,0,0
1,3,4,South Oak Bay via Richardson,,1,19541,2,0,0
1,2,5,Downtown,,0,18479,1,0,0
1,1,6,Downtown,,0,18878,1,0,0
1,3,7,Downtown,,0,19541,1,0,0
1,2,8,Downtown,,0,18479,1,0,0
1,3,9,Downtown,,0,19541,1,0,0
1,3,10,South Oak Bay via Richardson,,1,19541,2,0,0
1,1,11,South Oak Bay via Richardson,,1,18878,2,0,0
1,2,12,South Oak Bay via Richardson,,1,18479,2,0,0
1,4,13,South Oak Bay via Richardson,,1,20188,2,0,0
1,1,14,Downtown,,0,18878,1,0,0
1,3,15,Downtown,,0,19789,1,0,0
1,2,16,Downtown,,0,18479,1,0,0
1,1,17,Downtown,,0,18878,1,0,0
1,3,18,Downtown,,0,19789,1,0,0
1,3,19,Downtown,,0,19541,1,0,0
1,2,20,Downtown,,0,18479,1,0,0
1,4,21,Downtown,,0,19940,1,0,0
1,4,22,Downtown,,0,19940,1,0,0
1,2,23,Downtown,,0,18727,1,0,0
1,3,24,South Oak Bay via Richardson,,1,19789,2,0,0
1,3,25,South Oak Bay via Richardson,,1,19789,2,0,0
1,4,26,South Oak Bay via Richardson,,1,20188,2,0,0
1,4,27,Downtown,,0,19940,1,0,0
1,1,28,South Oak Bay via Richardson,,1,19124,2,0,0
1,2,29,South Oak Bay via Richardson,,1,18727,2,0,0
1,1,30,South Oak Bay via Richardson,,1,19124,2,0,0
1,4,31,South Oak Bay via Richardson,,1,19940,2,0,0
1,2,32,South Oak Bay via Richardson,,1,18727,2,0,0
1,4,33,South Oak Bay via Richardson,,1,20188,2,0,0
1,5,34,South Oak Bay via Richardson,,1,18326,2,0,0
1,1,35,Downtown,,0,19124,1,0,0
1,5,36,Downtown,,0,18326,1,0,0
1,5,37,Downtown,,0,18080,1,0,0
1,5,38,Downtown,,0,18080,1,0,0
1,5,39,Downtown,,0,18326,1,0,0
1,4,40,Downtown,,0,20188,1,0,0
1,2,41,Downtown,,0,18727,1,0,0
1,4,42,Downtown,,0,19940,1,0,0
1,4,43,Downtown,,0,20188,1,0,0
1,1,44,Downtown,,0,19124,1,0,0
1,5,45,Downtown,,0,18080,1,0,0
1,3,46,Downtown,,0,19541,1,0,0
1,5,47,Downtown,,0,18080,1,0,0
1,5,48,South Oak Bay via Richardson,,1,18080,2,0,0
1,2,49,South Oak Bay via Richardson,,1,18727,2,0,0
1,1,50,South Oak Bay via Richardson,,1,19124,2,0,0
1,4,51,South Oak Bay via Richardson,,1,19940,2,0,0
1,5,52,South Oak Bay via Richardson,,1,18326,2,0,0
1,3,53,South Oak Bay via Richardson,,1,19789,2,0,0
1,5,54,South Oak Bay via Richardson,,1,18326,2,0,0
1,5,55,South Oak Bay via Richardson,,1,18080,2,0,0
1,6,56,South Oak Bay via Richardson,,1,30053,2,0,0
1,7,57,South Oak Bay via Richardson,,1,30620,2,0,0
1,7,58,South Oak Bay via Richardson,,1,30620,2,0,0
1,6,59,South Oak Bay via Richardson,,1,30053,2,0,0
1,7,60,South Oak Bay via Richardson,,1,30620,2,0,0
1,8,61,South Oak Bay via Richardson,,1,30975,2,0,0
1,6,62,South Oak Bay via Richardson,,1,30263,2,0,0
1,8,63,South Oak Bay via Richardson,,1,30975,2,0,0
1,6,64,South Oak Bay via Richardson,,1,30263,2,0,0
1,8,65,South Oak Bay via Richardson,,1,30975,2,0,0
1,9,66,South Oak Bay via Richardson,,1,31688,2,0,0
1,6,67,South Oak Bay via Richardson,,1,30263,2,0,0
1,9,68,South Oak Bay via Richardson,,1,31688,2,0,0
1,10,69,South Oak Bay via Richardson,,1,31124,2,0,0
1,6,70,Downtown,,0,30053,1,0,0
1,7,71,Downtown,,0,30620,1,0,0
1,6,72,Downtown,,0,30053,1,0,0
1,6,73,Downtown,,0,30053,1,0,0
1,7,74,Downtown,,0,30620,1,0,0
1,6,75,Downtown,,0,30053,1,0,0
1,8,76,Downtown,,0,30975,1,0,0
1,6,77,Downtown,,0,30263,1,0,0
1,8,78,Downtown,,0,30975,1,0,0
1,6,79,Downtown,,0,30263,1,0,0
1,9,80,Downtown,,0,31688,1,0,0
1,9,81,Downtown,,0,31688,1,0,0
1,10,82,South Oak Bay via Richardson,,1,31334,2,0,0
1,10,83,South Oak Bay via Richardson,,1,31334,2,0,0
1,9,84,South Oak Bay via Richardson,,1,31688,2,0,0
1,7,85,South Oak Bay via Richardson,,1,30410,2,0,0
1,9,86,South Oak Bay via Richardson,,1,31481,2,0,0
1,10,87,South Oak Bay via Richardson,,1,31124,2,0,0
1,10,88,Downtown,,0,31124,1,0,0
1,7,89,Downtown,,0,30410,1,0,0
1,10,90,Downtown,,0,31334,1,0,0
1,10,91,Downtown,,0,31124,1,0,0
1,9,92,Downtown,,0,31481,1,0,0
1,8,93,Downtown,,0,30767,1,0,0
1,8,94,Downtown,,0,30767,1,0,0
1,9,95,Downtown,,0,31481,1,0,0
1,9,96,South Oak Bay via Richardson,,1,31481,2,0,0
1,8,97,South Oak Bay via Richardson,,1,30767,2,0,0
1,8,98,South Oak Bay via Richardson,,1,30767,2,0,0
1,10,99,South Oak Bay via Richardson,,1,31334,2,0,0
1,10,100,Downtown,,0,31124,1,0,0
1,7,101,Downtown,,0,30410,1,0,0
1,7,102,Downtown,,0,30410,1,0,0
1,9,103,Downtown,,0,31481,1,0,0
1,9,104,Downtown,,0,31481,1,0,0
1,8,105,Downtown,,0,30767,1,0,0
1,10,106,Downtown,,0,31334,1,0,0
1,7,107,South Oak Bay via Richardson,,1,30410,2,0,0
1,10,108,Downtown,,0,31124,1,0,0
1,7,109,Downtown,,0,30410,1,0,0
1,8,110,Downtown,,0,30767,1,0,0
2,1,111,Downtown,,1,18874,3,0,0
2,3,112,Willows - Oak Bay Village,,1,19656,4,0,0
2,3,113,Willows - Oak Bay Village,,1,19656,4,0,0
2,1,114,Willows - Oak Bay Village,,1,18913,4,0,0
2,4,115,Willows - Oak Bay Village,,1,20008,4,0,0
2,3,116,Downtown,,1,19637,3,0,0
2,3,117,James Bay - Fisherman's Wharf,,0,19637,5,0,0
2,4,118,James Bay - Fisherman's Wharf,,0,20000,5,0,0
2,1,119,James Bay - Fisherman's Wharf,,0,18938,5,0,0
2,3,120,James Bay - Fisherman's Wharf,,0,19637,5,0,0
2,3,121,James Bay - Fisherman's Wharf,,0,19656,5,0,0
2,3,122,James Bay - Fisherman's Wharf,,0,19656,5,0,0
2,4,123,South Oak Bay - Oak Bay Village,,1,20000,6,0,0
2,3,124,James Bay - Fisherman's Wharf,,0,19505,5,0,0
2,4,125,James Bay - Fisherman's Wharf,,0,20008,5,0,0
2,3,126,South Oak Bay - Oak Bay Village,,1,19467,6,0,0
2,3,127,James Bay - Fisherman's Wharf,,0,19467,7,0,0
2,3,128,South Oak Bay - Oak Bay Village,,1,19467,6,0,0
2,3,129,James Bay - Fisherman's Wharf,,0,19467,7,0,0
2,3,130,Willows - Oak Bay Village,,1,19505,4,0,0
2,3,131,Willows - Oak Bay Village,,1,19505,4,0,0
2,3,132,Willows - Oak Bay Village,,1,19609,4,0,0
2,2,133,Willows - Oak Bay Village,,1,18575,4,0,0
2,2,134,Willows - Oak Bay Village,,1,18594,4,0,0
2,2,135,Willows - Oak Bay Village,,1,18707,4,0,0
2,11,136,Willows - Oak Bay Village,,1,19245,4,0,0
2,11,137,Willows - Oak Bay Village,,1,19248,4,0,0
2,4,138,Willows - Oak Bay Village,,1,20000,4,0,0
2,3,139,Willows - Oak Bay Village,,1,19637,4,0,0
2,2,140,Willows - Oak Bay Village,,1,18597,4,0,0
2,2,141,Willows - Oak Bay Village,,1,18690,4,0,0
