route_id,service_id,block_id,trip_id,trip_headsign,direction_id,shape_id
11-Victoria,VIC1901-MV1901SA-Saturday-20,1038008,6712937,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1038006,6712938,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1037944,6712939,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1037996,6712940,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1038113,6712941,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1038006,6712942,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1038108,6712943,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1037913,6712944,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1038097,6712945,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1037998,6712946,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1038003,6712947,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1038036,6712948,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1038067,6712949,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1038113,6712950,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1037904,6712951,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1038002,6712952,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1038083,6712953,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1038074,6712954,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1038110,6712955,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1037920,6712956,Tillicum Mall Via Gorge,1,1-11-499
11-Victoria,VIC1901-MV1901SA-Saturday-20,1037921,6712957,Tillicum Mall Via Gorge,1,1-11-499
